mean_D,mean_zp,mean_zc,mean_zm,std_D,std_zp,std_zc,std_zm,H,J,T,O,U,noPer,noSkill,costPer,costCas,costTrain,costTot
0.5119581464872944,5500.0,10016.944883397977,326.44444444444446,0.5000438796424179,3027.6503540974913,5514.146676944534,245.9319576179106,3,3,446,1,1,1.0,2.0,446000,296.0,953,1206420
1.0740740740740742,5500.0,6853.710949362054,251.25,0.8150183756376573,3027.6503540974913,3772.843705948705,155.4290835075598,4,4,54,1,2,2.0,6.0,162000,125.0,1981,449345
0.9854771784232366,5500.0,8570.441459532947,242.54166666666666,0.8155193444936213,3027.6503540974913,4717.8727490412275,150.18220214319575,6,4,482,1,2,2.0,6.0,1446000,988.0,1981,4245061
0.5048543689320388,5500.0,8138.371609840369,247.25714285714287,0.5004625566204972,3027.6503540974913,4480.026124783667,137.35791436482816,7,5,103,1,1,2.0,6.0,309000,75.0,1846,488410
0.5586854460093896,5500.0,8145.741669648558,140.77777777777777,0.49712790128370543,3027.6503540974913,4484.083209181483,110.27440521011412,3,3,142,1,1,1.0,2.0,142000,111.0,398,374922
1.017094017094017,5500.0,6404.636885044126,177.22448979591837,0.8321287285293311,3027.6503540974913,3525.636569612673,89.4364917381142,7,7,234,1,2,4.0,17.0,2340000,743.0,3169,4429916
0.5324074074074074,5500.0,9651.47179637232,465.69444444444446,0.4990770345647251,3027.6503540974913,5312.960363972475,217.60210338327477,6,6,324,1,1,3.0,9.0,1944000,186.0,4602,2471536
1.0869565217391304,5500.0,10997.88074734685,142.28,0.8260519813127039,3027.6503540974913,6054.13409800485,92.1011762501797,5,5,46,1,2,4.0,9.0,460000,76.0,1488,723438
0.5,5500.0,8005.009015280715,324.25,0.5004376368452701,3027.6503540974913,4406.612432666958,198.55830378002327,4,4,143,1,1,2.0,4.0,429000,52.0,1676,532558
0.48376068376068376,5500.0,9448.415789242968,311.76666666666665,0.5001638883730095,3027.6503540974913,5201.181710902147,166.61160354783698,6,5,117,1,1,2.0,6.0,351000,78.0,2118,590187
0.48936170212765956,5500.0,8853.32697975537,148.05,0.5012216274352614,3027.6503540974913,4873.596102763132,105.17678100777707,5,4,47,1,1,2.0,4.0,141000,14.0,774,170749
1.0088757396449703,5500.0,10144.885574268785,462.4583333333333,0.8081480215952291,3027.6503540974913,5584.575709311532,214.51855629037732,8,6,338,1,2,4.0,12.0,3380000,740.0,6607,6123882
1.002202643171806,5500.0,6223.110313880063,123.14583333333333,0.8229151946622068,3027.6503540974913,3425.7094809830405,73.25763037255177,8,6,454,1,2,3.0,13.0,2724000,1395.0,2010,6372753
0.5064102564102564,5500.0,7307.777555831437,208.03571428571428,0.500762054280282,3027.6503540974913,4022.7991462870464,131.52791061155526,7,4,78,1,1,1.0,3.0,78000,87.0,824,291414
0.511443661971831,5500.0,9014.078492220488,373.921875,0.5000891835831749,3027.6503540974913,4962.086897969809,151.61315693289527,8,8,142,1,1,3.0,11.0,852000,181.0,4579,1574427
1.0235955056179775,5500.0,8667.462282056624,163.83333333333334,0.8243787545492942,3027.6503540974913,4771.280954071889,93.50127542310386,6,5,356,1,2,3.0,9.0,2136000,793.0,1655,4458959
0.9880597014925373,5500.0,8223.344515589552,159.1,0.8395600377137868,3027.6503540974913,4526.802169907341,105.71356532979503,5,4,335,1,2,2.0,6.0,1005000,675.0,1285,2801964
0.4696969696969697,5500.0,7277.592287460711,289.77777777777777,0.5009821489619499,3027.6503540974913,4006.1827029286537,223.283327735065,3,3,44,1,1,1.0,2.0,44000,24.0,870,89859
1.007475813544415,5500.0,8840.495129420753,271.69444444444446,0.8297357805583793,3027.6503540974913,4866.532401634162,130.39189708489107,6,6,379,1,2,4.0,14.0,3790000,823.0,4326,6499518
0.49064039408866994,5500.0,10219.407248666517,229.425,0.5001588344795393,3027.6503540974913,5625.598540925756,127.01461403904347,8,5,203,1,1,2.0,6.0,609000,138.0,1562,1054642
0.9932203389830508,5500.0,6044.694942059476,359.6666666666667,0.8298633928640489,3027.6503540974913,3327.495051225034,218.58669888064148,6,4,295,1,2,2.0,6.0,885000,616.0,2713,2102147
0.4634615384615385,5500.0,8426.281376926976,269.8,0.498903068600541,3027.6503540974913,4638.5152353778285,148.72594560651387,6,5,208,1,1,2.0,6.0,624000,128.0,1937,978309
0.972972972972973,5500.0,9189.557793049456,347.4166666666667,0.8191119722055945,3027.6503540974913,5058.6850738410085,262.2290665302634,4,3,444,1,2,2.0,4.0,1332000,493.0,2176,2468669
0.5130979498861048,5500.0,8020.065495127213,179.5,0.4999707952454408,3027.6503540974913,4414.900752037633,114.3929055584535,5,4,439,1,1,2.0,4.0,1317000,171.0,832,1638635
1.0394736842105263,5500.0,8227.926817567564,217.25,0.83461011054764,3027.6503540974913,4529.324644126669,136.08992125306955,4,4,228,1,2,2.0,6.0,684000,508.0,1739,2047087
0.9874551971326165,5500.0,7844.432304550539,316.55555555555554,0.8160334355938197,3027.6503540974913,4318.217862648407,241.80576456688905,3,3,186,1,2,2.0,4.0,558000,212.0,1932,980679
0.4543010752688172,5500.0,5733.923258721954,343.04761904761904,0.4985778110161488,3027.6503540974913,3156.420869934066,162.55024774811415,7,6,62,1,1,2.0,6.0,186000,59.0,2280,322767
